Date,Total_Pop,Pop_5_24,Percent_5_24,Median_Age,Male_to_Female_Ratio,Pop_5_24_per1000,RUCA1,Income,Race,Total_Mobile_Home,No_English,Below_Poverty_Line,Percent_18_24_no_HS_diploma,Percent_No_HS_Diploma,Percent_Unemployment,NDVI,TMIN,TMAX,EHF,Above_95th,RH,Mental_Health,month,Day,TMAX_24hr_diff,TMIN_24hr_diff,loc,Region,log_Total_Pop_per1000
2016-07-28,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.5525,19.11375,32.37375,0.057734541666667,1,67.83125,47,7,28,0.91625,-0.0587499999999999,1,1,5.27275850387137
2016-07-29,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.67125,19.45125,30.5125,0,0,68.57875,60,7,29,-1.86125,0.3375,1,1,5.27275850387137
2016-07-30,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.42,18.46625,29.8,0,0,71.63,60,7,30,-0.7125,-0.985,1,1,5.27275850387137
2016-07-31,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.10125,18.3525,29.35125,0,0,74.7,59,7,31,-0.44875,-0.11375,1,1,5.27275850387137
2016-08-01,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.48125,18.5575,30.28625,0,0,71.9825,64,8,1,0.934999999999999,0.205,1,1,5.27275850387137
2016-08-02,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.55625,18.94125,28.93875,0,0,75.71125,67,8,2,-1.3475,0.38375,1,1,5.27275850387137
2016-08-03,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.62375,19.26375,28.30125,0,0,78.7775,68,8,3,-0.637499999999999,0.322499999999999,1,1,5.27275850387137
2016-08-04,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.4025,19.815,29.73625,0,0.25,73.055,70,8,4,1.435,0.55125,1,1,5.27275850387137
2016-08-05,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.27875,19.96375,26.0375,0,0,81.78625,64,8,5,-3.69875,0.148750000000001,1,1,5.27275850387137
2016-08-06,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.355,19.06,28.145,0,0,78.54375,71,8,6,2.1075,-0.90375,1,1,5.27275850387137
2016-08-07,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.6425,19.145,29.8925,0,0,76.25375,63,8,7,1.7475,0.0849999999999995,1,1,5.27275850387137
2016-08-08,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.61875,20.4,29.7175,0,0.875,76.18,82,8,8,-0.175,1.255,1,1,5.27275850387137
2016-08-09,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.61125,20.735,27.5675,0,0,78.30875,61,8,9,-2.15,0.335,1,1,5.27275850387137
2016-08-10,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.28375,20.81625,27.35125,0,0,77.805,67,8,10,-0.21625,0.0812500000000007,1,1,5.27275850387137
2016-08-11,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.46125,20.87125,25.79125,0,0,82.9625,66,8,11,-1.56,0.0550000000000002,1,1,5.27275850387137
2016-08-12,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.605,21,28.19375,0,0,77.88875,56,8,12,2.4025,0.12875,1,1,5.27275850387137
2016-08-13,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.1525,19.745,29.0325,0,0,78.92875,57,8,13,0.83875,-1.255,1,1,5.27275850387137
2016-08-14,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.59625,18.5575,29.4375,0,0,76.78125,52,8,14,0.405,-1.1875,1,1,5.27275850387137
2016-08-15,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.55875,18.625,30.08,0,0,74.09625,64,8,15,0.642500000000001,0.0675000000000008,1,1,5.27275850387137
2016-08-16,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.495,18.65625,29.99875,0,0,72.3175,79,8,16,-0.0812500000000003,0.03125,1,1,5.27275850387137
2016-08-17,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.43625,18.96875,30.2525,0,0,74.64375,59,8,17,0.25375,0.3125,1,1,5.27275850387137
2016-08-18,194953,42633,0.218683477556129,42.15,91.475,42.633,1,-0.1355314715,0.81945911725,2.075,7.3625,14.825,15.275,0.178993812592053,3.775,0.50875,18.5875,29.8775,0,0,74.705,83,8,18,-0.375,-0.38125,1,1,5.27275850387137
